Study_accession,OP_disease,OP_age,OP_sex,OP_tissue_types,OP_organism,OP_strain_info,PR_disease,PR_age,PR_sex,PR_tissue_types,PR_organism,PR_strain_info
GSE109148,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE106375,Experiment-level  available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110688,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE103360,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110679,Not-available,Not-available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110568,Not-available,Experiment-level  available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110558,Not-available,Not-available,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE115765,Not-available,Not-available,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110547,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE109726,Not-available,Experiment-level  available,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE110692,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
